dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,svm,ratiorange,383,0.04764,415,0.06224,65536,1.0,3,318,1.0,1.0
annealing,svm,ratiorange,383,0.04764,415,0.06224,65536,1.0,2,51,1.0,1.0
annealing,svm,ratiorange,383,0.04764,415,0.06224,65536,1.0,U,16,1.0,1.0
annealing,svm,ratiorange,383,0.04764,415,0.06224,65536,1.0,4,0,,
annealing,svm,ratiorange,383,0.04764,415,0.06224,65536,1.0,5,29,1.0,1.0
annealing,svm,ratiorange,391,0.0473,407,0.06138,65536,1.0,1,1,1.0,1.0
annealing,svm,ratiorange,391,0.0473,407,0.06138,65536,1.0,3,312,1.0,1.0
annealing,svm,ratiorange,391,0.0473,407,0.06138,65536,1.0,2,50,1.0,1.0
annealing,svm,ratiorange,391,0.0473,407,0.06138,65536,1.0,U,15,1.0,1.0
annealing,svm,ratiorange,391,0.0473,407,0.06138,65536,1.0,4,0,,
annealing,svm,ratiorange,391,0.0473,407,0.06138,65536,1.0,5,29,1.0,1.0
annealing,svm,ratiorange,399,0.04461,399,0.06028,65536,1.0,1,1,1.0,1.0
annealing,svm,ratiorange,399,0.04461,399,0.06028,65536,1.0,3,306,1.0,1.0
annealing,svm,ratiorange,399,0.04461,399,0.06028,65536,1.0,2,48,1.0,1.0
annealing,svm,ratiorange,399,0.04461,399,0.06028,65536,1.0,U,15,1.0,1.0
annealing,svm,ratiorange,399,0.04461,399,0.06028,65536,1.0,4,0,,
annealing,svm,ratiorange,399,0.04461,399,0.06028,65536,1.0,5,29,1.0,1.0
annealing,svm,ratiorange,406,0.04564,392,0.05947,65536,1.0,1,1,1.0,1.0
annealing,svm,ratiorange,406,0.04564,392,0.05947,65536,1.0,3,302,1.0,1.0
annealing,svm,ratiorange,406,0.04564,392,0.05947,65536,1.0,2,45,1.0,1.0
annealing,svm,ratiorange,406,0.04564,392,0.05947,65536,1.0,U,15,1.0,1.0
annealing,svm,ratiorange,406,0.04564,392,0.05947,65536,1.0,4,0,,
annealing,svm,ratiorange,406,0.04564,392,0.05947,65536,1.0,5,29,1.0,1.0
annealing,svm,ratiorange,414,0.04735,384,0.05788,65536,1.0,1,0,,
annealing,svm,ratiorange,414,0.04735,384,0.05788,65536,1.0,3,300,1.0,1.0
annealing,svm,ratiorange,414,0.04735,384,0.05788,65536,1.0,2,42,1.0,1.0
annealing,svm,ratiorange,414,0.04735,384,0.05788,65536,1.0,U,14,1.0,1.0
annealing,svm,ratiorange,414,0.04735,384,0.05788,65536,1.0,4,0,,
